,Field Name,Data Type,Enumeration,Description
0,ADDRESS,MultilineString, ,"the            contacted station's complete            mailing address: full name, street address, city, postal code, and            country"
1,ADDRESS_INTL,IntlMultilineString, ,"the contacted station's complete mailing address:            full name, street address, city, postal code, and country"
2,AGE,Number, ,the contacted station's operator's age in years in the range 0 to 120 (inclusive)
3,ALTITUDE,Number, ,the height of the contacted station in meters relative to Mean Sea Level (MSL).            For example 1.5 km is            <ALTITUDE:4>1500            and 10.5 m is            <ALTITUDE:4>10.5
4,ANT_AZ,Number, ,"the            logging station's antenna azimuth, in            degrees with a value between 0 to 360 (inclusive).             Values outside this range are import-only and must be normalized for export (e.g. 370 is exported as 10).            True north is 0 degrees with values increasing in a clockwise direction."
5,ANT_EL,Number, ,"the            logging station's antenna elevation,            in degrees            with a value between -90 to 90 (inclusive).             Values outside this range are import-only and must be normalized for export (e.g. 100 is exported as 80).            The horizon is 0 degrees with values increasing as the angle moves in an upward direction."
6,ANT_PATH,Enumeration,Ant Path,the signal path
7,ARRL_SECT,Enumeration,"

              ARRL
              Section
            
",the contacted station's ARRL section
8,AWARD_SUBMITTED,SponsoredAwardList,Sponsored Award,"the list of awards submitted to a sponsor.            note that this field might not be used in a QSO record.             It might be used to convey information about a user's ""Award Account"" between            an award sponsor and the user.             For example, AA6YQ might submit a request for awards by sending the following:              <CALL:5>AA6YQ              <AWARD_SUBMITTED:64>ADIF_CENTURY_BASIC,ADIF_CENTURY_SILVER,ADIF_SPECTRUM_100-160m"
9,AWARD_GRANTED,SponsoredAwardList,Sponsored Award,"the list of awards granted by a sponsor.            note that this field might not be used in a QSO record.             It might be used to convey information about a user's ""Award Account"" between            an award sponsor and the user.             For example, in response to a request ""send me a list of the awards granted to AA6YQ"",            this might be received:              <CALL:5>AA6YQ              <AWARD_GRANTED:64>ADIF_CENTURY_BASIC,ADIF_CENTURY_SILVER,ADIF_SPECTRUM_100-160m"
10,A_INDEX,Number, ,the geomagnetic A index at the time of the QSO in the range 0 to 400 (inclusive)
11,BAND,Enumeration,Band,QSO Band
12,BAND_RX,Enumeration,Band,"in a split frequency QSO, the logging station's receiving band"
13,CALL,String, ,the contacted station's callsign
14,CHECK,String, ,contest check (e.g. for ARRL Sweepstakes)
15,CLASS,String, ,contest class (e.g. for ARRL Field Day)
