,Field Name
0,ADDRESS
1,ADDRESS_INTL
2,AGE
3,ALTITUDE
4,ANT_AZ
5,ANT_EL
6,ANT_PATH
7,ARRL_SECT
8,AWARD_SUBMITTED
9,AWARD_GRANTED
10,A_INDEX
11,BAND
12,BAND_RX
13,CALL
14,CHECK
15,CLASS
16,CLUBLOG_QSO_UPLOAD_DATE
17,CLUBLOG_QSO_UPLOAD_STATUS
18,CNTY
19,COMMENT
20,COMMENT_INTL
21,CONT
22,CONTACTED_OP
23,CONTEST_ID
24,COUNTRY
25,COUNTRY_INTL
26,CQZ
27,CREDIT_SUBMITTED
28,CREDIT_GRANTED
29,DARC_DOK
30,DISTANCE
31,DXCC
32,EMAIL
33,EQ_CALL
34,EQSL_QSLRDATE
35,EQSL_QSLSDATE
36,EQSL_QSL_RCVD
37,EQSL_QSL_SENT
38,FISTS
39,FISTS_CC
40,FORCE_INIT
41,FREQ
42,FREQ_RX
43,GRIDSQUARE
44,GRIDSQUARE_EXT
45,GUEST_OP
46,HAMLOGEU_QSO_UPLOAD_DATE
47,HAMLOGEU_QSO_UPLOAD_STATUS
48,HAMQTH_QSO_UPLOAD_DATE
49,HAMQTH_QSO_UPLOAD_STATUS
50,HRDLOG_QSO_UPLOAD_DATE
51,HRDLOG_QSO_UPLOAD_STATUS
52,IOTA
53,IOTA_ISLAND_ID
54,ITUZ
55,K_INDEX
56,LAT
57,LON
58,LOTW_QSLRDATE
59,LOTW_QSLSDATE
60,LOTW_QSL_RCVD
61,LOTW_QSL_SENT
62,MAX_BURSTS
63,MODE
64,MS_SHOWER
65,MY_ALTITUDE
66,MY_ANTENNA
67,MY_ANTENNA_INTL
68,MY_ARRL_SECT
69,MY_CITY
70,MY_CITY_INTL
71,MY_CNTY
72,MY_COUNTRY
73,MY_COUNTRY_INTL
74,MY_CQ_ZONE
75,MY_DXCC
76,MY_FISTS
77,MY_GRIDSQUARE
78,MY_GRIDSQUARE_EXT
79,MY_IOTA
80,MY_IOTA_ISLAND_ID
81,MY_ITU_ZONE
82,MY_LAT
83,MY_LON
84,MY_NAME
85,MY_NAME_INTL
86,MY_POSTAL_CODE
87,MY_POSTAL_CODE_INTL
88,MY_POTA_REF
89,MY_RIG
90,MY_RIG_INTL
91,MY_SIG
92,MY_SIG_INTL
93,MY_SIG_INFO
94,MY_SIG_INFO_INTL
95,MY_SOTA_REF
96,MY_STATE
97,MY_STREET
98,MY_STREET_INTL
99,MY_USACA_COUNTIES
100,MY_VUCC_GRIDS
101,MY_WWFF_REF
102,NAME
103,NAME_INTL
104,NOTES
105,NOTES_INTL
106,NR_BURSTS
107,NR_PINGS
108,OPERATOR
109,OWNER_CALLSIGN
110,PFX
111,POTA_REF
112,PRECEDENCE
113,PROP_MODE
114,PUBLIC_KEY
115,QRZCOM_QSO_UPLOAD_DATE
116,QRZCOM_QSO_UPLOAD_STATUS
117,QSLMSG
118,QSLMSG_INTL
119,QSLRDATE
120,QSLSDATE
121,QSL_RCVD
122,QSL_RCVD_VIA
123,QSL_SENT
124,QSL_SENT_VIA
125,QSL_VIA
126,QSO_COMPLETE
127,QSO_DATE
128,QSO_DATE_OFF
129,QSO_RANDOM
130,QTH
131,QTH_INTL
132,REGION
133,RIG
134,RIG_INTL
135,RST_RCVD
136,RST_SENT
137,RX_PWR
138,SAT_MODE
139,SAT_NAME
140,SFI
141,SIG
142,SIG_INTL
143,SIG_INFO
144,SIG_INFO_INTL
145,SILENT_KEY
146,SKCC
147,SOTA_REF
148,SRX
149,SRX_STRING
150,STATE
151,STATION_CALLSIGN
152,STX
153,STX_STRING
154,SUBMODE
155,SWL
156,TEN_TEN
157,TIME_OFF
158,TIME_ON
159,TX_PWR
160,UKSMG
161,USACA_COUNTIES
162,VE_PROV
163,VUCC_GRIDS
164,WEB
165,WWFF_REF
